Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
DMF,BNY Mellon Municipal Income Inc.,9.3494,193965279.5814,,1988.0,,,https://old.nasdaq.com/symbol/dmf,
BWL.A,"Bowl America, Inc.",,0.0,,,,,https://old.nasdaq.com/symbol/bwl.a,
CMCL,Caledonia Mining Corporation Plc,7.0864,76178119.7056,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/cmcl,
CEI,"Camber Energy, Inc.",0.149,7276418.576,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cei,
CANF,Can-Fite Biopharma Ltd,2.0,6666666.0,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/canf,
ROX,"Castle Brands, Inc.",1.26,214668937.98,,2006.0,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/rox,
YCBD,"cbdMD, Inc.",3.69,102288113.64,,2017.0,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ycbd,
CVM,Cel-Sci Corporation,9.22,320904856.78,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/cvm,
CET,Central Securities Corporation,31.24,796078485.84,,,,,https://old.nasdaq.com/symbol/cet,
LEU,Centrus Energy Corp.,4.45,42085381.05,,2014.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/leu,
CHAC,Chardan Healthcare Acquisition Corp.,10.0987,88363625.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/chac,
CHAC.U,Chardan Healthcare Acquisition Corp.,,0.0,,2018.0,,,https://old.nasdaq.com/symbol/chac.u,
CHAC.WS,Chardan Healthcare Acquisition Corp.,,0.0,,,,,https://old.nasdaq.com/symbol/chac.ws,
CCF,Chase Corporation,103.95,978410975.85,,,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ccf,
CQP,"Cheniere Energy Partners, LP",44.82,21693356122.86,,2007.0,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/cqp,
LNG,"Cheniere Energy, Inc.",61.5,15791968954.5,,,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/lng,
CVR,Chicago Rivet & Machine Co.,26.38,25486562.16,,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cvr,
CPHI,"China Pharma Holdings, Inc.",0.2518,10973332.4526,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/cphi,
CKX,"CKX Lands, Inc.",9.9902,19405913.549000002,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ckx,
CCC.WS,Clarivate Analytics Plc,,0.0,,,,,https://old.nasdaq.com/symbol/ccc.ws,
GLV,Clough Global Dividend and Income Fund,10.94,91980500.56,,2004.0,,,https://old.nasdaq.com/symbol/glv,
GLQ,Clough Global Equity Fund,11.32,124810822.12,,2005.0,,,https://old.nasdaq.com/symbol/glq,
GLO,Clough Global Opportunities Fund,9.06,291953172.72,,2006.0,,,https://old.nasdaq.com/symbol/glo,
COHN,Cohen & Company Inc.,4.1,4992258.4,,,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cohn,
CIX,CompX International Inc.,13.7085,170575646.8845,,1998.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cix,
LODE,"Comstock Mining, Inc.",0.1015,11797365.6045,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/lode,
CDOR,"Condor Hospitality Trust, Inc.",11.05,131666098.2,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cdor,
CTO,Consolidated-Tomoka Land Co.,64.64,318528337.92,,,Finance,Real Estate,https://old.nasdaq.com/symbol/cto,
MCF,Contango Oil & Gas Company,2.45,210367934.35,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mcf,
CUO,Continental Materials Corporation,10.1801,17430010.9165,,,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cuo,
CMT,Core Molding Technologies Inc,6.11,50524078.8,,,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/cmt,
CVRS,"Corindus Vascular Robotics, Inc.",4.27,891086713.51,,2015.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cvrs,
