Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
ICD,"Independence Contract Drilling, Inc.",1.12,86182520.48,,2014.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/icd,
IHC,Independence Holding Company,37.96,565325677.28,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/ihc,
IRT,"Independence Realty Trust, Inc.",14.7,1330350000.0,,2013.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/irt,
IFN,"India Fund, Inc. (The)",19.88,534862951.0,,,,,https://old.nasdaq.com/symbol/ifn,
IBA,"Industrias Bachoco, S.A. de C.V.",50.6,2530000000.0,,1997.0,Consumer Non-Durables,Meat/Poultry/Fish,https://old.nasdaq.com/symbol/iba,
INFY,Infosys Limited,11.29,47850607374.92,,,Technology,EDP Services,https://old.nasdaq.com/symbol/infy,
ING,"ING Group, N.V.",10.1,39346387806.1,,1997.0,Finance,Commercial Banks,https://old.nasdaq.com/symbol/ing,
ISG,"ING Group, N.V.",25.93,0.0,,,Finance,Commercial Banks,https://old.nasdaq.com/symbol/isg,
IR,Ingersoll-Rand plc (Ireland),116.45,28131605666.95,,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/ir,
NGVT,Ingevity Corporation,82.53,3454516971.36,,2016.0,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ngvt,
INGR,Ingredion Incorporated,78.34,5227576887.3,,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/ingr,
IIPR,"Innovative Industrial Properties, Inc.",89.38,1010366803.98,,2016.0,Finance,Real Estate,https://old.nasdaq.com/symbol/iipr,
IIPR^A,"Innovative Industrial Properties, Inc.",28.76,0.0,,,,,https://old.nasdaq.com/symbol/iipr^a,
IPHI,Inphi Corporation,63.28,2873936946.16,,2010.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/iphi,
INSI,Insight Select Income Fund,20.12,215485904.2,,,,,https://old.nasdaq.com/symbol/insi,
NSP,"Insperity, Inc.",99.08,4080743359.84,,,Technology,Professional Services,https://old.nasdaq.com/symbol/nsp,
INSP,"Inspire Medical Systems, Inc.",56.47,1350190584.78,,1998.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/insp,
IBP,"Installed Building Products, Inc.",58.87,1767101260.96,,2014.0,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/ibp,
INST,"Instructure, Inc.",40.92,1517780333.52,,2015.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/inst,
ITGR,Integer Holdings Corporation,74.76,2440642845.48,,,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/itgr,
I,Intelsat S.A.,24.01,3378207000.0,,2013.0,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/i,
ICE,Intercontinental Exchange Inc.,94.36,52880736281.8,,2005.0,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ice,
IHG,Intercontinental Hotels Group,59.66,10860106260.38,,,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/ihg,
IFS,Intercorp Financial Services Inc.,39.05,4322526895.5,,2019.0,Finance,Commercial Banks,https://old.nasdaq.com/symbol/ifs,
IBM,International Business Machines Corporation,141.28,125156442746.08,,,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/ibm,
IFF,"International Flavors & Fragrances, Inc.",118.4,12642153724.8,,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/iff,
IFFT,"International Flavors & Fragrances, Inc.",45.85,0.0,,2018.0,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ifft,
IGT,International Game Technology,13.99,2860050308.67,,2015.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/igt,
IP,International Paper Company,39.12,15367758364.08,,,Basic Industries,Paper,https://old.nasdaq.com/symbol/ip,
